X,Y,FID,FAC_NAME,NAME,ADDRESS,CITY_STATE_ZIP,CITY,STATE,ZIP,OPERATING_STATUS,MEDICARE,MEDICARE_ID,MEDICAID,MEDICAID_ID,CERTIFIED_TOTAL_BEDS,COUNTY,ADMIN,PHONE,EMERGENCY_CONTACT,EMERGENCY_PHONE,EMERGENCY_FAX,EMERGENCY_EMAIL,DATE_GEOCODED,SOURCE,GEO_TRACT,GEO_COUNTY,GEO_ZIP,FACTYPE,SYMBOL,Latitude,Longitude,TYPE
-11695949.0568,4806552.5647,1081,COLORADO ASSISTED LIVING HOMES LLC-LAMAR (23M595),COLORADO ASSISTED LIVING HOMES LLC-LAMAR,6952 S LAMAR STREET,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,Y,75605252,6/6,JEFFERSON,Mr JAMES PALIN,(303) 904-2506,Tom Kinrade,(303) 589-6621,(720) 981-0233,twkinrade@msn.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012051,JEFFERSON,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.590088,-105.066498,ALR/ACF
-11695303.5151,4806166.8805,1082,COLORADO ASSISTED LIVING HOMES LLC HOUSE 7 (23U705),COLORADO ASSISTED LIVING HOMES LLC HOUSE 7,5984 W ROWLAND PL,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,Y,73970051,7/7,JEFFERSON,Ms TAMMY LITTLEFIELD,(303) 948-1628,Tom Kinrade,(303) 589-6621,(720) 981-0233,twkinrade@msn.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012051,JEFFERSON,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.587418,-105.060699,ALR/ACF
-11696405.912,4806282.5842,1083,LIGHTHOUSE ASSISTED LIVING NEWLAND LLC (23I532),LIGHTHOUSE ASSISTED LIVING NEWLAND LLC,7070 S NEWLAND COURT,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,N,,0/8,ARAPAHOE,Ms ELISABETH LITTLETON,(303) 948-1005,Elisabeth Littleton,(720) 635-2968,(720) 200-4906,liz@lighthouseassistedliving.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012051,JEFFERSON,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.588219,-105.070602,ALRONLY
-11694782.0946,4805640.6694,1084,SERENITY HOUSE ASSISTED LIVING LITTLETON (23M202),SERENITY HOUSE ASSISTED LIVING LITTLETON,5310 W GEDDES AVENUE,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,Y,76539873,2/8,ARAPAHOE,MR MICHAEL ZISLIS,(303) 972-0827,Michael Zislis,(303) 584-8926,(303) 589-9508,michael.zislis@serenityhouse.net,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012051,JEFFERSON,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.583775,-105.056015,ALR/ACF
-11695269.5626,4806074.8674,1085,THRIVECARE (23W354),THRIVECARE,7168 S INGALLS WAY,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,N,,0/8,ARAPAHOE,Mr CASEY LENO,(720) 504-7399,,,,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012051,JEFFERSON,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.586781,-105.060394,ALRONLY
-11697826.794,4804706.7599,1086,ROSE OF SHARON ASSISTED LIVING - YUKON (23I537),ROSE OF SHARON ASSISTED LIVING - YUKON,7762 S YUKON WAY,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,N,,0/8,ARAPAHOE,Mr HANNY TANNY,(303) 973-7123,Hanny Tanny,(303) 596-6472,(303) 979-0976,htanny@qwest.net,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012055,JEFFERSON,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.577309,-105.083366,ALRONLY
-11697759.7796,4805072.0228,1087,MEADOW VISTA ASSISTED LIVING LLC - WADSWORTH (23V775),MEADOW VISTA ASSISTED LIVING LLC - WADSWORTH,7516 S WADSWORTH COURT,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,N,,0/8,ARAPAHOE,Ms KANCHANA ARYAL,(720) 320-7719,,(720) 530-8679,(720) 545-2164,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012055,JEFFERSON,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.579838,-105.082764,ALRONLY
-11697227.2272,4804593.8185,1088,MEADOW VISTA ASSISTED LIVING AT WALDEN (23W793),MEADOW VISTA ASSISTED LIVING AT WALDEN,7243 W WALDEN DRIVE,"LITTLETON, CO   80129",LITTLETON,CO,80129,01-ACTIVE,N,,N,,0/8,DOUGLAS,Ms KANCHANA ARYAL,(303) 904-2262,,,(720) 545-2164,sanjay.aryal@gmail.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012055,JEFFERSON,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.576527,-105.07798,ALRONLY
-11696655.6016,4806800.0171,1089,DEVOTED HOME HEALTH CARE (1004NR),DEVOTED HOME HEALTH CARE,6901 S PIERCE ST STE 100H,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,Y,4143376,0/0,ARAPAHOE,Mr DARIAN GUY,(303) 344-2299,Darian Guy,(303) 344-2299,(303) 340-4376,darianeeguy@gmail.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012052,JEFFERSON,80128,Home Health Agency - HCA license - personal care homemaker,Home Health,39.591801,-105.072845,HCA-PHS
-11696662.3921,4805474.7085,1090,PERSONAL HOME CARE PLUS LLC (04T740),PERSONAL HOME CARE PLUS LLC,7345 S PIERCE ST #203,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,N,,0/0,ARAPAHOE,Mr ADAM ROCKLIN,(844) 466-4886,ADAM ROCKLIN,(303) 807-4044,(720) 749-1766,"adam@phcplus.org, adamrocklin@gmail.com",March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012052,JEFFERSON,80128,Home Health Agency - HCA license - personal care homemaker,Home Health,39.582626,-105.072906,HCA-PHS
-11696662.3921,4805474.7085,1091,PERSONAL HOME CARE PLUS LLC (04X669),PERSONAL HOME CARE PLUS LLC,7345 S PIERCE ST #203,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,N,,0/0,ARAPAHOE,Mr ADAM ROCKLIN,(844) 466-4886,,,(720) 749-1766,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012052,JEFFERSON,80128,Home Care Agency - In-Home Support Services,Home Health,39.582626,-105.072906,HCA-IHSS
-11696655.6016,4806800.0171,1092,DEVOTED HOME HEALTH CARE (04R539),DEVOTED HOME HEALTH CARE,6901 S PIERCE ST STE 100H,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,N,,0/0,ARAPAHOE,DARIAN GUY,(303) 344-2299,Darian Guy,(303) 344-2299,(303) 344-2299,darianeeguy@gmail.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012052,JEFFERSON,80128,Home Care Agency - In-Home Support Services,Home Health,39.591801,-105.072845,HCA-IHSS
-11698391.6291,4807280.4939,1093,BALFOUR AT LITTLETON (23M124),BALFOUR AT LITTLETON,8160 W COAL MINE AVE,"LITTLETON, CO   80123",LITTLETON,CO,80123,01-ACTIVE,N,,N,,0/90,ARAPAHOE,Mr ZACHARY STRUNK,(720) 788-9310,Zachary Strunk,(720) 788-9310,,zstrunk@balfourcare.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012052,JEFFERSON,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.595127,-105.08844,ALRONLY
-11697623.8585,4805605.2816,1094,OUTLIVING (10Z833),OUTLIVING,7333 S VANCE ST,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,N,,0/0,JEFFERSON,Ms JENNIFER LYON,(303) 667-7122,,,,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012052,JEFFERSON,80128,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.58353,-105.081543,HCBS-IDD
-11696238.5988,4803528.3036,1095,ALTERNATIVE CARE HOMES-MARSHALL (2304J4),ALTERNATIVE CARE HOMES-MARSHALL,8029 S MARSHALL STREET,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,Y,18175881,10/10,JEFFERSON,CHIRAG SHAH,(303) 834-5646,Chirag Shah,(303) 834-5646,(844) 720-7880,scs.alr.marshall@gmail.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012053,JEFFERSON,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.569149,-105.069099,ALR/ACF
-11694942.6173,4804838.3339,1096,SUN VALLEY ASSISTED LIVING (2304TZ),SUN VALLEY ASSISTED LIVING,7631 S DEPEW WAY,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,Y,4182085,5/5,JEFFERSON,HERO ABRIANSYAH,(303) 932-6187,Sarasaty Soekarso,(720) 266-9701,(720) 287-1005,soekarsos@yahoo.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059012053,JEFFERSON,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.57822,-105.057457,ALR/ACF
-11694151.9149,4806413.1678,1097,THRIVECARE ROWLAND LLC (2304J1),THRIVECARE ROWLAND LLC,4961 W ROWLAND AVENUE,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,Y,64603326,0/8,ARAPAHOE,Mr CASEY LENO,(720) 504-7399,,,(303) 972-6942,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08005005621,ARAPAHOE,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.589123,-105.050354,ALRONLY
-11694489.9922,4805193.2024,1098,"GARDENS AT COLUMBINE, THE (2304QP)","GARDENS AT COLUMBINE, THE",5130 W KEN CARYL AVE,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,N,,0/147,ARAPAHOE,Mr JEREMY KLASSEN,(303) 973-5115,Jeremy Klassen,(303) 902-1508,(303) 973-6004,jklassen@gardensatcolumbine.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08005005621,ARAPAHOE,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.580677,-105.053391,ALRONLY
-11694527.2843,4806541.5862,1099,SERENITY HOUSE ASSISTED LIVING PORTLAND DRIVE (23B430),SERENITY HOUSE ASSISTED LIVING PORTLAND DRIVE,5286 W PORTLAND DRIVE,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,N,,2/8,JEFFERSON,MR MICHAEL ZISLIS,(303) 584-8926,Michael Zislis,(303) 584-8926,(303) 584-9508,michael.zislis@serenityhouse.net,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08005005621,ARAPAHOE,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.590012,-105.053726,ALR/ACF
-11694337.9298,4806759.7136,1100,ROCKY MOUNTAIN CARE AND CONSULTING LLC (23Q270),ROCKY MOUNTAIN CARE AND CONSULTING LLC,5130 W PLYMOUTH DR,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,N,,8/8,ARAPAHOE,Ms TEDDY SAMUEL,(720) 412-5730,Hilary Samuel,(303) 547-0113,(720) 412-5730,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08005005621,ARAPAHOE,80128,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.591522,-105.052025,ALR/ACF
-11694337.9298,4806759.7136,1101,ROCKY MOUNTAIN CARE AND CONSULTING LLC (23U248),ROCKY MOUNTAIN CARE AND CONSULTING LLC,5130 W PLYMOUTH DR,"LITTLETON, CO   80128",LITTLETON,CO,80128,01-ACTIVE,N,,N,,0/0,ARAPAHOE,Ms TEDDY SAMUEL,(720) 412-5730,Hilary Samuel,(303) 547-0113,(720) 412-5730,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08005005621,ARAPAHOE,80128,Assisted Living Residence - Brain Injury,Assisted Living Residence/Nursing Home,39.591522,-105.052025,ALR/BISL
-11691220.0935,4799327.138,1102,CALDWELL FAMILY SERVICES INC (10W742),CALDWELL FAMILY SERVICES INC,9687 S GOLDEN EAGLE PLACE,"HIGHLANDS RANCH, CO   80129",HIGHLANDS RANCH,CO,80129,01-ACTIVE,N,,N,,0/0,ADAMS,Ms DAWN CALDWELL,(303) 330-4740,,,(303) 999-9999,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014130,DOUGLAS,80129,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.540051,-105.024017,HCBS-IDD
-11690318.183,4798234.6155,1103,ROCKY MOUNTAIN ASSISTED LIVING (23G933),ROCKY MOUNTAIN ASSISTED LIVING,9970 SILVER MAPLE ROAD,"HIGHLANDS RANCH, CO   80129",HIGHLANDS RANCH,CO,80129,01-ACTIVE,N,,N,,4/10,ARAPAHOE,Ms JESSICA HARMON,(303) 471-1914,,,(303) 284-2487,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014124,DOUGLAS,80129,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.532482,-105.015915,ALR/ACF
-11689064.6142,4800002.7169,1104,EZ CONNECTIONS LLC (10X378),EZ CONNECTIONS LLC,1249 CARLYLE PARK CIR,"HIGHLANDS RANCH, CO   80129",HIGHLANDS RANCH,CO,80129,01-ACTIVE,N,,N,,0/0,ADAMS,Mr EMIL ZEYNALOV,(443) 801-8594,,,,emilzey@gmail.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014128,DOUGLAS,80129,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.544731,-105.004654,HCBS-IDD
-11687649.6322,4800623.9144,1105,CENTURA HEALTH EMERGENCY & URGENT CARE HIGHLANDS RANCH (18G341),CENTURA HEALTH EMERGENCY & URGENT CARE-HIGHLANDS R,9205 S BROADWAY,"HIGHLANDS RANCH, CO   80129",HIGHLANDS RANCH,CO,80129,01-ACTIVE,N,,N,,0/10,ADAMS,Ms DEBRA CARPENTER,(303) 649-3650,,,(303) 649-3651,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014126,DOUGLAS,80129,Community Clinic/Emergency,Clinic,39.549034,-104.991943,CCEC
-11688701.9353,4803094.7937,1106,LITTLETON DAY SURGERY CENTER (160499),LITTLETON DAY SURGERY CENTER,8381 SOUTHPARK LN,"LITTLETON, CO   80120",LITTLETON,CO,80120,01-ACTIVE,Y,06C0001012,Y,4510236,0/0,ARAPAHOE,Ms TRICIA WHITEHOUSE,(303) 795-2244,Michael Meehan,(303) 795-2244,(303) 795-5965,lkrieger@littletonsurgerycenter.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014131,DOUGLAS,80129,Ambulatory Surgical Center,Surgery or Transplant,39.566147,-105.001396,ASC
-11691946.2305,4802218.8779,1107,WIND CREST OUTPATIENT REHABILITATION (20Y304),WIND CREST OUTPATIENT REHABILITATION,3235 MILL VISTA ROAD,"HIGHLANDS RANCH, CO   80129",HIGHLANDS RANCH,CO,80129,01-ACTIVE,Y,066643,N,,0/0,DOUGLAS,Mr CRAIG ERICKSON,(303) 876-8195,,,,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014131,DOUGLAS,80129,Outpatient Physical Therapy/Speech Pathology,Rehabilitaton or Recovery,39.560081,-105.03054,OPT-SP
-11687560.4652,4803075.0103,1108,PEAK PHYSICAL THERAPY OF HIGHLANDS RANCH (20Q269),PEAK PHYSICAL THERAPY OF HIGHLANDS RANCH,"200 W COUNTY LINE ROAD, STE 250","HIGHLANDS RANCH, CO   80129",HIGHLANDS RANCH,CO,80129,01-ACTIVE,Y,066651,N,,0/0,ADAMS,Mr MICHAEL BIBA,(303) 840-7325,Michael Biba,(303) 726-4707,(303) 840-7326,biba@peakptwellness.com          mbiba@peakptandwellness.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014131,DOUGLAS,80129,Outpatient Physical Therapy/Speech Pathology,Rehabilitaton or Recovery,39.56601,-104.991142,OPT-SP
-11691946.2305,4802218.8779,1109,WIND CREST INC (04U709),WIND CREST INC,3235 MILL VISTA RD,"HIGHLANDS RANCH, CO   80129",HIGHLANDS RANCH,CO,80129,01-ACTIVE,N,,N,,0/0,DOUGLAS,Ms THERESA DANKELMAN,(303) 876-8420,Kathy Dilger,(303) 876-8191,(303) 876-8222,Cell: 303-304-4100,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014131,DOUGLAS,80129,Home Health Agency - HCA license only,Home Health,39.560081,-105.03054,HHA-LCE
-11689492.6376,4801594.405,1110,CHILDREN'S HOSPITAL COLORADO - SOUTH CAMPUS (01F105),CHILDREN'S HOSPITAL COLORADO - SOUTH CAMPUS,1811 PLAZA DR,"HIGHLANDS RANCH, CO   80129",HIGHLANDS RANCH,CO,80129,01-ACTIVE,N,,N,,0/16,ADAMS,Ms SUZY JAEGER,(720) 478-1234,Suzy Jaeger,(720) 777-6537,(720) 777-7257,Suzy.Jaeger@childrenscolorado.org,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014131,DOUGLAS,80129,Hospital,Hospital,39.555756,-105.008499,LICGEN
-11692257.9251,4802113.7616,1111,CONTINUING CARE AT WIND CREST (23A843),CONTINUING CARE AT WIND CREST,3420 MILL VISTA ROAD,"HIGHLANDS RANCH, CO   80129",HIGHLANDS RANCH,CO,80129,01-ACTIVE,N,,N,,0/108,DOUGLAS,Ms MICAH PETERSON,(303) 876-8300,Micah Peterson,(303) 876-8349,(303) 876-8222,micah.peterson@erickson.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014131,DOUGLAS,80129,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.559353,-105.03334,ALRONLY
-11692257.9251,4802113.7616,1112,CONTINUING CARE AT WIND CREST (02H136),CONTINUING CARE AT WIND CREST,3420 MILL VISTA RD,"HIGHLANDS RANCH, CO   80129",HIGHLANDS RANCH,CO,80129,01-ACTIVE,Y,065409,N,,44/44,DOUGLAS,MICAH PETERSON,(303) 876-8347,Kathy Dilger,(303) 304-4100,(303) 876-8222,sarah.helms@erickson.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014131,DOUGLAS,80129,Nursing Home,Assisted Living Residence/Nursing Home,39.559353,-105.03334,SNF
-11689572.4537,4801250.0592,1113,PENTEC HEALTH INC (04L578),PENTEC HEALTH INC,1745 SHEA CENTER DR 4TH FLOOR,"HIGHLANDS RANCH, CO   80129",HIGHLANDS RANCH,CO,80129,01-ACTIVE,N,,N,,0/0,ADAMS,Mr TIMOTHY HERRERA,(800) 223-4376,Karen McHenry,(610) 757-7704,(484) 480-2252,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014131,DOUGLAS,80129,Home Health Agency - HCA license only,Home Health,39.553371,-105.009216,HHA-LCE
-11689018.7506,4801156.5032,1114,UCHEALTH HIGHLANDS RANCH HOSPITAL (01G933),UCHEALTH HIGHLANDS RANCH HOSPITAL,1500 PARK CENTRAL DR,"HIGHLANDS RANCH, CO   80129",HIGHLANDS RANCH,CO,80129,01-ACTIVE,Y,060132,N,,0/87,ADAMS,Ms DIANE COOKSON,(720) 516-1000,,,(720) 516-0115,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014131,DOUGLAS,80129,Hospital,Hospital,39.552723,-105.004242,HOSP-ACU
-11681196.6639,4798128.9636,1115,MY CARE AT HOME CORPORATION (04S721),MY CARE AT HOME CORPORATION,4704 WALDENWOOD DR,"HIGHLANDS RANCH, CO   80130",HIGHLANDS RANCH,CO,80130,01-ACTIVE,N,,N,,0/0,ADAMS,Ms YANA KILGORE (SHUSHLEBINA),(720) 476-4766,,,(719) 283-4677,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014136,DOUGLAS,80130,Home Health Agency - Licensed only,Home Health,39.53175,-104.933975,HCA-LIC
-11678204.6186,4802357.7832,1116,HIGHLANDS BEHAVIORAL HEALTH SYSTEM (01B953),HIGHLANDS BEHAVIORAL HEALTH SYSTEM,8565 S POPLAR WAY,"LITTLETON, CO   80130",LITTLETON,CO,80130,01-ACTIVE,Y,064024,N,,86/86,DOUGLAS,Mr DAVID FRANKLIN,(720) 348-2801,Amy Petschauer,(720) 348-2612,(720) 348-2840,Admin:  LISA.STRUB@UHSINC.COM,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014138,DOUGLAS,80130,Psychiatric Hospital,Mental Health Facility,39.561043,-104.907097,HOSP-PSY
-11679701.0866,4798838.6709,1117,SOLANGE AT KEENAN LLC (23O235),SOLANGE AT KEENAN LLC,9896 KEENAN STREET,"HIGHLANDS RANCH, CO   80130",HIGHLANDS RANCH,CO,80130,01-ACTIVE,N,,N,,0/8,ADAMS,Mr ALEX ANDRION,(720) 648-7454,,,(720) 549-7561,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014137,DOUGLAS,80130,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.536667,-104.92054,ALRONLY
-11680823.8549,4795903.7503,1118,SQUARE ONE CARE LLC (10Z701),SQUARE ONE CARE LLC,4872 BLUEGATE DRIVE,"HIGHLANDS RANCH, CO   80130",HIGHLANDS RANCH,CO,80130,01-ACTIVE,N,,N,,0/0,ADAMS,Mr BRUCE ZHANG,(720) 984-8657,,,(720) 999-9999,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014137,DOUGLAS,80130,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.516331,-104.930626,HCBS-IDD
-11678621.6215,4801443.3823,1119,ROCKY MOUNTAIN ASSISTED LIVING - CHESTNUT (23D976),ROCKY MOUNTAIN ASSISTED LIVING - CHESTNUT,6824 CHESTNUT HILL STREET,"HIGHLANDS RANCH, CO   80130",HIGHLANDS RANCH,CO,80130,01-ACTIVE,N,,N,,0/16,ADAMS,Ms JESSICA HARMON,(303) 996-6886,Jessica Harmon,(303) 720-5919,(303) 756-3263,jessica@rockymountainassistedliving.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035014113,DOUGLAS,80130,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.55471,-104.910843,ALRONLY
-11673866.832,4730110.5737,1120,K&M MUSIC THERAPY LLC (10G937),K&M MUSIC THERAPY LLC,2351 PELICAN BAY DR,"MONUMENT, CO   80132",MONUMENT,CO,80132,01-ACTIVE,N,,N,,0/0,EL PASO,KAILEE HOLLY,(630) 730-3627,,,,khollymt@gmail.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08041003701,EL PASO,80132,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.05889,-104.86813,HCBS-IDD
-11673943.5312,4734469.1076,1121,BETHESDA GARDENS MONUMENT (23U756),BETHESDA GARDENS MONUMENT,55 BEACON LITE ROAD,"MONUMENT, CO   80132",MONUMENT,CO,80132,01-ACTIVE,N,,N,,0/81,EL PASO,Ms STACY DEWALT,(866) 958-8771,Stacy Dewalt,,(719) 488-6080,sdewalt@ba.org,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08041003701,EL PASO,80132,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.089286,-104.868819,ALRONLY
-11673135.129,4735924.6646,1122,GENTLE SHEPHERD HOME CARE LLC (04K180),GENTLE SHEPHERD HOME CARE LLC,1824 WOODMOORE DR STE 203,"MONUMENT, CO   80132",MONUMENT,CO,80132,01-ACTIVE,N,,N,,0/0,EL PASO,Ms KATHRYN MILLER,(719) 359-8371,,,(719) 239-7237,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08041007400,EL PASO,80132,Home Health Agency - Licensed only,Home Health,39.099434,-104.861557,HCA-LIC
-11666666.0195,4733021.0734,1123,SENIORS HELPING SENIORS (04W351),SENIORS HELPING SENIORS,17030 VISCOUNT CT,"MONUMENT, CO   80132",MONUMENT,CO,80132,01-ACTIVE,N,,N,,0/0,EL PASO,Ms SUZANNE MCGREGOR,(719) 629-7725,,,(719) 375-8775,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08041007300,EL PASO,80132,Home Health Agency - Licensed only,Home Health,39.079189,-104.803444,HCA-LIC
-11671960.5971,4734315.5031,1124,"EMPOWERING INDEPENDENCE, LLC (10A847)","EMPOWERING INDEPENDENCE, LLC",17659 WATER FLUME WAY,"MONUMENT, CO   80132",MONUMENT,CO,80132,01-ACTIVE,N,,N,,0/0,EL PASO,CHRISTINE GRAY,(719) 354-6306,,,,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08041007300,EL PASO,80132,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.088215,-104.851006,HCBS-IDD
-11671911.2825,4732051.2918,1125,JACKSON CREEK SENIOR LIVING (23H946),JACKSON CREEK SENIOR LIVING,16601 JACKSON CREEK PARKWAY,"MONUMENT, CO   80132",MONUMENT,CO,80132,01-ACTIVE,N,,N,,0/110,EL PASO,Ms DENA MACKEY,(719) 725-6060,Dena Mackey,(303) 263-1605,(719) 487-9879,dmackey@jcseniorliving.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08041007300,EL PASO,80132,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.072426,-104.850563,ALRONLY
-11675395.1373,4736210.8379,1126,LIFTING SPIRITS LLC (10K990),LIFTING SPIRITS LLC,"755 HWY 105, #C","PALMER LAKE, CO   80133",PALMER LAKE,CO,80133,01-ACTIVE,N,,N,,0/0,EL PASO,SONJA SEARCH,(719) 488-1415,,,(719) 488-1419,liftingspirits@qwestoffice.net,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08041003701,EL PASO,80133,Adult Day,Adult Day Care Facility,39.101429,-104.881859,ADAY
-11675395.1373,4736210.8379,1127,AMADA HOME CARE (04E475),AMADA HOME CARE,755 HIGHWAY 105 UNIT D,"PALMER LAKE, CO   80133",PALMER LAKE,CO,80133,01-ACTIVE,N,,N,,0/0,EL PASO,Mr DANIEL JENSON,(719) 377-9120,Daniel Jenson,(832) 514-2058,(719) 452-4401,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08041003701,EL PASO,80133,Home Health Agency - Licensed only,Home Health,39.101429,-104.881859,HCA-LIC
-11679678.934,4737543.9814,1128,BEAT TO YOUR RHYTHM LLC (10D505),BEAT TO YOUR RHYTHM LLC,351 EISENHOWER DR,"PALMER LAKE, CO   80133",PALMER LAKE,CO,80133,01-ACTIVE,N,,N,,0/0,EL PASO,Ms AMANDA ORTIZ,(575) 654-0393,,,,,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08041003701,EL PASO,80133,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.110722,-104.920341,HCBS-IDD
-11651398.9966,4784086.1716,1129,"PRAYING HANDS RANCHES, INC. (10S614)","PRAYING HANDS RANCHES, INC.",11892 HILLTOP ROAD,"PARKER, CO   80138",PARKER,CO,80138,01-ACTIVE,N,,N,,0/0,DOUGLAS,Ms SHIRLEY HANSON,(303) 841-4043,Shirley Hanson,(303) 841-4043,,hansonphr@myawai.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08035013909,DOUGLAS,80134,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.434387,-104.666298,HCBS-IDD
