OBJECTID,FIPS,Life_Expectancy_Label,COUNTY,TRACT_NAME,LE_20102015,LE_StdError,LE_L95CI,LE_U95CI,LE_STATE
173,08001008534,78.9 Years (95% C.I. 74.9 - 82.9 Years),ADAMS,"Census Tract 85.34, Adams County, Colorado",78.9,2.02,74.9,82.9,80.5
174,08001009103,77.5 Years (95% C.I. 72.2 - 82.8 Years),ADAMS,"Census Tract 91.03, Adams County, Colorado",77.5,2.71,72.2,82.8,80.5
175,08001008603,74.8 Years (95% C.I. 71.8 - 77.8 Years),ADAMS,"Census Tract 86.03, Adams County, Colorado",74.8,1.55,71.8,77.8,80.5
176,08001009408,86.3 Years (95% C.I. 79.1 - 93.5 Years),ADAMS,"Census Tract 94.08, Adams County, Colorado",86.3,3.66,79.1,93.5,80.5
177,08001008524,78.6 Years (95% C.I. 75.2 - 82 Years),ADAMS,"Census Tract 85.24, Adams County, Colorado",78.6,1.76,75.2,82,80.5
178,08001008508,76.4 Years (95% C.I. 72.4 - 80.4 Years),ADAMS,"Census Tract 85.08, Adams County, Colorado",76.4,2.02,72.4,80.4,80.5
179,08001008401,76.1 Years (95% C.I. 73.7 - 78.5 Years),ADAMS,"Census Tract 84.01, Adams County, Colorado",76.1,1.24,73.7,78.5,80.5
180,08001008523,79.2 Years (95% C.I. 75.2 - 83.2 Years),ADAMS,"Census Tract 85.23, Adams County, Colorado",79.2,2.06,75.2,83.2,80.5
181,08001008402,77.3 Years (95% C.I. 73.9 - 80.7 Years),ADAMS,"Census Tract 84.02, Adams County, Colorado",77.3,1.73,73.9,80.7,80.5
182,08069002802,82.7 Years (95% C.I. 78.7 - 86.7 Years),LARIMER,"Census Tract 28.02, Larimer County, Colorado",82.7,2.02,78.7,86.7,80.5
183,08069002503,83.7 Years (95% C.I. 78.6 - 88.8 Years),LARIMER,"Census Tract 25.03, Larimer County, Colorado",83.7,2.63,78.6,88.8,80.5
184,08069001608,83.1 Years (95% C.I. 78.1 - 88.1 Years),LARIMER,"Census Tract 16.08, Larimer County, Colorado",83.1,2.57,78.1,88.1,80.5
185,08069001607,80.8 Years (95% C.I. 76.4 - 85.2 Years),LARIMER,"Census Tract 16.07, Larimer County, Colorado",80.8,2.27,76.4,85.2,80.5
186,08125963100,78.7 Years (95% C.I. 77.1 - 80.3 Years),YUMA,"Census Tract 9631, Yuma County, Colorado",78.7,0.8,77.1,80.3,80.5
187,08001008547,75 Years (95% C.I. 71.9 - 78.1 Years),ADAMS,"Census Tract 85.47, Adams County, Colorado",75,1.6,71.9,78.1,80.5
188,08001008543,76.6 Years (95% C.I. 74.1 - 79.1 Years),ADAMS,"Census Tract 85.43, Adams County, Colorado",76.6,1.27,74.1,79.1,80.5
189,08001008544,81.3 Years (95% C.I. 77.4 - 85.2 Years),ADAMS,"Census Tract 85.44, Adams County, Colorado",81.3,1.98,77.4,85.2,80.5
190,08001008545,81.7 Years (95% C.I. 77.2 - 86.2 Years),ADAMS,"Census Tract 85.45, Adams County, Colorado",81.7,2.31,77.2,86.2,80.5
191,08069000202,77.3 Years (95% C.I. 73 - 81.6 Years),LARIMER,"Census Tract 2.02, Larimer County, Colorado",77.3,2.17,73,81.6,80.5
192,08069001307,79.9 Years (95% C.I. 76.2 - 83.6 Years),LARIMER,"Census Tract 13.07, Larimer County, Colorado",79.9,1.89,76.2,83.6,80.5
193,08069002801,84.6 Years (95% C.I. 80.7 - 88.5 Years),LARIMER,"Census Tract 28.01, Larimer County, Colorado",84.6,1.97,80.7,88.5,80.5
194,08069001808,83.4 Years (95% C.I. 80.2 - 86.6 Years),LARIMER,"Census Tract 18.08, Larimer County, Colorado",83.4,1.61,80.2,86.6,80.5
195,08069001605,81.4 Years (95% C.I. 74.3 - 88.5 Years),LARIMER,"Census Tract 16.05, Larimer County, Colorado",81.4,3.61,74.3,88.5,80.5
196,08069002502,80.8 Years (95% C.I. 76.8 - 84.8 Years),LARIMER,"Census Tract 25.02, Larimer County, Colorado",80.8,2.06,76.8,84.8,80.5
197,08069002501,85.4 Years (95% C.I. 81 - 89.8 Years),LARIMER,"Census Tract 25.01, Larimer County, Colorado",85.4,2.23,81,89.8,80.5
198,08069002011,81.7 Years (95% C.I. 79 - 84.4 Years),LARIMER,"Census Tract 20.11, Larimer County, Colorado",81.7,1.38,79,84.4,80.5
199,08001008550,83.2 Years (95% C.I. 76.9 - 89.5 Years),ADAMS,"Census Tract 85.50, Adams County, Colorado",83.2,3.24,76.9,89.5,80.5
200,08001008541,83.1 Years (95% C.I. 76.5 - 89.7 Years),ADAMS,"Census Tract 85.41, Adams County, Colorado",83.1,3.35,76.5,89.7,80.5
201,08001008540,82.4 Years (95% C.I. 76.2 - 88.6 Years),ADAMS,"Census Tract 85.40, Adams County, Colorado",82.4,3.17,76.2,88.6,80.5
202,08001008535,78.4 Years (95% C.I. 72.7 - 84.1 Years),ADAMS,"Census Tract 85.35, Adams County, Colorado",78.4,2.89,72.7,84.1,80.5
203,08001008537,80.4 Years (95% C.I. 76.3 - 84.5 Years),ADAMS,"Census Tract 85.37, Adams County, Colorado",80.4,2.08,76.3,84.5,80.5
204,08001008606,79 Years (95% C.I. 75.2 - 82.8 Years),ADAMS,"Census Tract 86.06, Adams County, Colorado",79,1.93,75.2,82.8,80.5
205,08001009104,77.3 Years (95% C.I. 72.1 - 82.5 Years),ADAMS,"Census Tract 91.04, Adams County, Colorado",77.3,2.65,72.1,82.5,80.5
206,08069002010,80.3 Years (95% C.I. 76.6 - 84 Years),LARIMER,"Census Tract 20.10, Larimer County, Colorado",80.3,1.9,76.6,84,80.5
207,08069001809,81.2 Years (95% C.I. 78.7 - 83.7 Years),LARIMER,"Census Tract 18.09, Larimer County, Colorado",81.2,1.27,78.7,83.7,80.5
208,08069001709,84.6 Years (95% C.I. 80.9 - 88.3 Years),LARIMER,"Census Tract 17.09, Larimer County, Colorado",84.6,1.89,80.9,88.3,80.5
209,08069001708,79.4 Years (95% C.I. 75.4 - 83.4 Years),LARIMER,"Census Tract 17.08, Larimer County, Colorado",79.4,2.07,75.4,83.4,80.5
210,08069001308,84.2 Years (95% C.I. 81 - 87.4 Years),LARIMER,"Census Tract 13.08, Larimer County, Colorado",84.2,1.64,81,87.4,80.5
211,08069000802,68.8 Years (95% C.I. 65.3 - 72.3 Years),LARIMER,"Census Tract 8.02, Larimer County, Colorado",68.8,1.76,65.3,72.3,80.5
212,08069000801,79.4 Years (95% C.I. 76 - 82.8 Years),LARIMER,"Census Tract 8.01, Larimer County, Colorado",79.4,1.73,76,82.8,80.5
213,08069000503,75.2 Years (95% C.I. 68.6 - 81.8 Years),LARIMER,"Census Tract 5.03, Larimer County, Colorado",75.2,3.37,68.6,81.8,80.5
214,08069000402,79.9 Years (95% C.I. 75.4 - 84.4 Years),LARIMER,"Census Tract 4.02, Larimer County, Colorado",79.9,2.31,75.4,84.4,80.5
215,08069000401,76.1 Years (95% C.I. 70.4 - 81.8 Years),LARIMER,"Census Tract 4.01, Larimer County, Colorado",76.1,2.93,70.4,81.8,80.5
216,08069001902,81.1 Years (95% C.I. 79.1 - 83.1 Years),LARIMER,"Census Tract 19.02, Larimer County, Colorado",81.1,1.02,79.1,83.1,80.5
217,08001008604,77.7 Years (95% C.I. 75.2 - 80.2 Years),ADAMS,"Census Tract 86.04, Adams County, Colorado",77.7,1.29,75.2,80.2,80.5
218,08001008605,77.1 Years (95% C.I. 74.9 - 79.3 Years),ADAMS,"Census Tract 86.05, Adams County, Colorado",77.1,1.15,74.9,79.3,80.5
219,08001009553,74.3 Years (95% C.I. 69.7 - 78.9 Years),ADAMS,"Census Tract 95.53, Adams County, Colorado",74.3,2.36,69.7,78.9,80.5
220,08001008706,72.9 Years (95% C.I. 70.2 - 75.6 Years),ADAMS,"Census Tract 87.06, Adams County, Colorado",72.9,1.38,70.2,75.6,80.5
221,08001009101,75.5 Years (95% C.I. 72.7 - 78.3 Years),ADAMS,"Census Tract 91.01, Adams County, Colorado",75.5,1.43,72.7,78.3,80.5
222,08001009002,77.8 Years (95% C.I. 75 - 80.6 Years),ADAMS,"Census Tract 90.02, Adams County, Colorado",77.8,1.43,75,80.6,80.5
223,08069002007,77.5 Years (95% C.I. 74.6 - 80.4 Years),LARIMER,"Census Tract 20.07, Larimer County, Colorado",77.5,1.47,74.6,80.4,80.5
224,08069002005,80.9 Years (95% C.I. 76.8 - 85 Years),LARIMER,"Census Tract 20.05, Larimer County, Colorado",80.9,2.09,76.8,85,80.5
225,08069002008,78.1 Years (95% C.I. 75.5 - 80.7 Years),LARIMER,"Census Tract 20.08, Larimer County, Colorado",78.1,1.32,75.5,80.7,80.5
226,08069001903,81.4 Years (95% C.I. 77.7 - 85.1 Years),LARIMER,"Census Tract 19.03, Larimer County, Colorado",81.4,1.91,77.7,85.1,80.5
227,08069001804,80.3 Years (95% C.I. 75.9 - 84.7 Years),LARIMER,"Census Tract 18.04, Larimer County, Colorado",80.3,2.23,75.9,84.7,80.5
228,08069001901,75.6 Years (95% C.I. 73.2 - 78 Years),LARIMER,"Census Tract 19.01, Larimer County, Colorado",75.6,1.23,73.2,78,80.5
229,08069001807,81.8 Years (95% C.I. 78.3 - 85.3 Years),LARIMER,"Census Tract 18.07, Larimer County, Colorado",81.8,1.79,78.3,85.3,80.5
230,08001009308,79.5 Years (95% C.I. 75.5 - 83.5 Years),ADAMS,"Census Tract 93.08, Adams County, Colorado",79.5,2.06,75.5,83.5,80.5
231,08001009001,76.8 Years (95% C.I. 73.4 - 80.2 Years),ADAMS,"Census Tract 90.01, Adams County, Colorado",76.8,1.75,73.4,80.2,80.5
232,08001009306,81.3 Years (95% C.I. 73.8 - 88.8 Years),ADAMS,"Census Tract 93.06, Adams County, Colorado",81.3,3.83,73.8,88.8,80.5
233,08001009318,77.1 Years (95% C.I. 72.1 - 82.1 Years),ADAMS,"Census Tract 93.18, Adams County, Colorado",77.1,2.54,72.1,82.1,80.5
234,08001008705,74.9 Years (95% C.I. 72.1 - 77.7 Years),ADAMS,"Census Tract 87.05, Adams County, Colorado",74.9,1.44,72.1,77.7,80.5
235,08001008533,76.4 Years (95% C.I. 74.1 - 78.7 Years),ADAMS,"Census Tract 85.33, Adams County, Colorado",76.4,1.17,74.1,78.7,80.5
236,08001009204,77.9 Years (95% C.I. 73.3 - 82.5 Years),ADAMS,"Census Tract 92.04, Adams County, Colorado",77.9,2.36,73.3,82.5,80.5
237,08001008507,79.6 Years (95% C.I. 75.4 - 83.8 Years),ADAMS,"Census Tract 85.07, Adams County, Colorado",79.6,2.14,75.4,83.8,80.5
238,08069001707,78.5 Years (95% C.I. 74.6 - 82.4 Years),LARIMER,"Census Tract 17.07, Larimer County, Colorado",78.5,2.01,74.6,82.4,80.5
239,08069001806,81.5 Years (95% C.I. 79 - 84 Years),LARIMER,"Census Tract 18.06, Larimer County, Colorado",81.5,1.27,79,84,80.5
240,08069001704,78.1 Years (95% C.I. 75.7 - 80.5 Years),LARIMER,"Census Tract 17.04, Larimer County, Colorado",78.1,1.23,75.7,80.5,80.5
241,08069001706,79.1 Years (95% C.I. 75.8 - 82.4 Years),LARIMER,"Census Tract 17.06, Larimer County, Colorado",79.1,1.66,75.8,82.4,80.5
242,08069001109,81.6 Years (95% C.I. 78.3 - 84.9 Years),LARIMER,"Census Tract 11.09, Larimer County, Colorado",81.6,1.7,78.3,84.9,80.5
243,08069001106,80.8 Years (95% C.I. 75.2 - 86.4 Years),LARIMER,"Census Tract 11.06, Larimer County, Colorado",80.8,2.85,75.2,86.4,80.5
244,08001009203,77.1 Years (95% C.I. 72.9 - 81.3 Years),ADAMS,"Census Tract 92.03, Adams County, Colorado",77.1,2.15,72.9,81.3,80.5
245,08001008505,77.1 Years (95% C.I. 73.7 - 80.5 Years),ADAMS,"Census Tract 85.05, Adams County, Colorado",77.1,1.75,73.7,80.5,80.5
246,08001008506,72.7 Years (95% C.I. 69.9 - 75.5 Years),ADAMS,"Census Tract 85.06, Adams County, Colorado",72.7,1.41,69.9,75.5,80.5
247,08001009501,78.7 Years (95% C.I. 76.2 - 81.2 Years),ADAMS,"Census Tract 95.01, Adams County, Colorado",78.7,1.27,76.2,81.2,80.5
248,08001009502,79.3 Years (95% C.I. 75 - 83.6 Years),ADAMS,"Census Tract 95.02, Adams County, Colorado",79.3,2.2,75,83.6,80.5
249,08001009309,78.7 Years (95% C.I. 76.3 - 81.1 Years),ADAMS,"Census Tract 93.09, Adams County, Colorado",78.7,1.24,76.3,81.1,80.5
250,08001009310,79.5 Years (95% C.I. 76 - 83 Years),ADAMS,"Census Tract 93.10, Adams County, Colorado",79.5,1.8,76,83,80.5
251,08001009319,67.7 Years (95% C.I. 65.4 - 70 Years),ADAMS,"Census Tract 93.19, Adams County, Colorado",67.7,1.16,65.4,70,80.5
252,08069001110,79.8 Years (95% C.I. 76.6 - 83 Years),LARIMER,"Census Tract 11.10, Larimer County, Colorado",79.8,1.64,76.6,83,80.5
253,08069001008,80.7 Years (95% C.I. 75.2 - 86.2 Years),LARIMER,"Census Tract 10.08, Larimer County, Colorado",80.7,2.82,75.2,86.2,80.5
254,08069001004,85.8 Years (95% C.I. 81.6 - 90 Years),LARIMER,"Census Tract 10.04, Larimer County, Colorado",85.8,2.12,81.6,90,80.5
255,08069001003,78.7 Years (95% C.I. 75.6 - 81.8 Years),LARIMER,"Census Tract 10.03, Larimer County, Colorado",78.7,1.57,75.6,81.8,80.5
256,08069000902,85 Years (95% C.I. 80.8 - 89.2 Years),LARIMER,"Census Tract 9.02, Larimer County, Colorado",85,2.15,80.8,89.2,80.5
257,08069001603,80 Years (95% C.I. 76.2 - 83.8 Years),LARIMER,"Census Tract 16.03, Larimer County, Colorado",80,1.91,76.2,83.8,80.5
258,08069000901,78.9 Years (95% C.I. 75.9 - 81.9 Years),LARIMER,"Census Tract 9.01, Larimer County, Colorado",78.9,1.51,75.9,81.9,80.5
259,08069001304,80.2 Years (95% C.I. 72.4 - 88 Years),LARIMER,"Census Tract 13.04, Larimer County, Colorado",80.2,3.98,72.4,88,80.5
260,08069000700,78.8 Years (95% C.I. 73.8 - 83.8 Years),LARIMER,"Census Tract 7, Larimer County, Colorado",78.8,2.53,73.8,83.8,80.5
261,08001009316,78.7 Years (95% C.I. 76 - 81.4 Years),ADAMS,"Census Tract 93.16, Adams County, Colorado",78.7,1.39,76,81.4,80.5
262,08001009603,76.1 Years (95% C.I. 73.3 - 78.9 Years),ADAMS,"Census Tract 96.03, Adams County, Colorado",76.1,1.45,73.3,78.9,80.5
263,08001009321,77.4 Years (95% C.I. 73.6 - 81.2 Years),ADAMS,"Census Tract 93.21, Adams County, Colorado",77.4,1.95,73.6,81.2,80.5
264,08001009407,78.5 Years (95% C.I. 74.7 - 82.3 Years),ADAMS,"Census Tract 94.07, Adams County, Colorado",78.5,1.95,74.7,82.3,80.5
265,08001009323,78.8 Years (95% C.I. 74 - 83.6 Years),ADAMS,"Census Tract 93.23, Adams County, Colorado",78.8,2.43,74,83.6,80.5
266,08001009411,79.2 Years (95% C.I. 76.4 - 82 Years),ADAMS,"Census Tract 94.11, Adams County, Colorado",79.2,1.4,76.4,82,80.5
267,08001009307,79.6 Years (95% C.I. 72.9 - 86.3 Years),ADAMS,"Census Tract 93.07, Adams County, Colorado",79.6,3.42,72.9,86.3,80.5
268,08069001009,80.3 Years (95% C.I. 78.2 - 82.4 Years),LARIMER,"Census Tract 10.09, Larimer County, Colorado",80.3,1.09,78.2,82.4,80.5
269,08069002300,83.9 Years (95% C.I. 79.7 - 88.1 Years),LARIMER,"Census Tract 23, Larimer County, Colorado",83.9,2.16,79.7,88.1,80.5
270,08069001602,85.3 Years (95% C.I. 81.8 - 88.8 Years),LARIMER,"Census Tract 16.02, Larimer County, Colorado",85.3,1.79,81.8,88.8,80.5
271,08069001305,78 Years (95% C.I. 71.6 - 84.4 Years),LARIMER,"Census Tract 13.05, Larimer County, Colorado",78,3.28,71.6,84.4,80.5
272,08059010305,77.5 Years (95% C.I. 74.6 - 80.4 Years),JEFFERSON,"Census Tract 103.05, Jefferson County, Colorado",77.5,1.48,74.6,80.4,80.5
273,08059009832,78.8 Years (95% C.I. 76.5 - 81.1 Years),JEFFERSON,"Census Tract 98.32, Jefferson County, Colorado",78.8,1.18,76.5,81.1,80.5
274,08059009833,82 Years (95% C.I. 77.6 - 86.4 Years),JEFFERSON,"Census Tract 98.33, Jefferson County, Colorado",82,2.27,77.6,86.4,80.5
275,08059009834,82.3 Years (95% C.I. 76.8 - 87.8 Years),JEFFERSON,"Census Tract 98.34, Jefferson County, Colorado",82.3,2.82,76.8,87.8,80.5
276,08059010210,79.4 Years (95% C.I. 77.3 - 81.5 Years),JEFFERSON,"Census Tract 102.10, Jefferson County, Colorado",79.4,1.09,77.3,81.5,80.5
277,08059010206,82 Years (95% C.I. 78.9 - 85.1 Years),JEFFERSON,"Census Tract 102.06, Jefferson County, Colorado",82,1.56,78.9,85.1,80.5
278,08059009835,82.7 Years (95% C.I. 78.5 - 86.9 Years),JEFFERSON,"Census Tract 98.35, Jefferson County, Colorado",82.7,2.12,78.5,86.9,80.5
279,08059009828,81 Years (95% C.I. 78.3 - 83.7 Years),JEFFERSON,"Census Tract 98.28, Jefferson County, Colorado",81,1.4,78.3,83.7,80.5
280,08059010205,82.2 Years (95% C.I. 78.9 - 85.5 Years),JEFFERSON,"Census Tract 102.05, Jefferson County, Colorado",82.2,1.69,78.9,85.5,80.5
281,08059010303,78.3 Years (95% C.I. 75.5 - 81.1 Years),JEFFERSON,"Census Tract 103.03, Jefferson County, Colorado",78.3,1.41,75.5,81.1,80.5
282,08087000600,79.6 Years (95% C.I. 76.7 - 82.5 Years),MORGAN,"Census Tract 6, Morgan County, Colorado",79.6,1.48,76.7,82.5,80.5
283,08087000200,81.4 Years (95% C.I. 77.3 - 85.5 Years),MORGAN,"Census Tract 2, Morgan County, Colorado",81.4,2.08,77.3,85.5,80.5
284,08087000100,84.4 Years (95% C.I. 77.9 - 90.9 Years),MORGAN,"Census Tract 1, Morgan County, Colorado",84.4,3.32,77.9,90.9,80.5
285,08087000500,77.8 Years (95% C.I. 73.3 - 82.3 Years),MORGAN,"Census Tract 5, Morgan County, Colorado",77.8,2.28,73.3,82.3,80.5
286,08087000800,81.1 Years (95% C.I. 74.9 - 87.3 Years),MORGAN,"Census Tract 8, Morgan County, Colorado",81.1,3.17,74.9,87.3,80.5
287,08087000400,78.2 Years (95% C.I. 75.6 - 80.8 Years),MORGAN,"Census Tract 4, Morgan County, Colorado",78.2,1.32,75.6,80.8,80.5
288,08087000300,80 Years (95% C.I. 72.3 - 87.7 Years),MORGAN,"Census Tract 3, Morgan County, Colorado",80,3.91,72.3,87.7,80.5
289,08087000700,75.2 Years (95% C.I. 72.9 - 77.5 Years),MORGAN,"Census Tract 7, Morgan County, Colorado",75.2,1.18,72.9,77.5,80.5
290,08059009830,79.4 Years (95% C.I. 75.5 - 83.3 Years),JEFFERSON,"Census Tract 98.30, Jefferson County, Colorado",79.4,2,75.5,83.3,80.5
291,08059010212,77.5 Years (95% C.I. 75 - 80 Years),JEFFERSON,"Census Tract 102.12, Jefferson County, Colorado",77.5,1.27,75,80,80.5
292,08059009824,82.1 Years (95% C.I. 78.2 - 86 Years),JEFFERSON,"Census Tract 98.24, Jefferson County, Colorado",82.1,1.97,78.2,86,80.5
293,08059009823,79.7 Years (95% C.I. 76.3 - 83.1 Years),JEFFERSON,"Census Tract 98.23, Jefferson County, Colorado",79.7,1.74,76.3,83.1,80.5
294,08059010208,80.1 Years (95% C.I. 75.7 - 84.5 Years),JEFFERSON,"Census Tract 102.08, Jefferson County, Colorado",80.1,2.25,75.7,84.5,80.5
295,08059010213,77.2 Years (95% C.I. 74.8 - 79.6 Years),JEFFERSON,"Census Tract 102.13, Jefferson County, Colorado",77.2,1.23,74.8,79.6,80.5
296,08059010304,80.6 Years (95% C.I. 77 - 84.2 Years),JEFFERSON,"Census Tract 103.04, Jefferson County, Colorado",80.6,1.83,77,84.2,80.5
297,08059060300,82.3 Years (95% C.I. 79.1 - 85.5 Years),JEFFERSON,"Census Tract 603, Jefferson County, Colorado",82.3,1.64,79.1,85.5,80.5
298,08059060500,79 Years (95% C.I. 77 - 81 Years),JEFFERSON,"Census Tract 605, Jefferson County, Colorado",79,1.04,77,81,80.5
299,08059060400,80.1 Years (95% C.I. 76.4 - 83.8 Years),JEFFERSON,"Census Tract 604, Jefferson County, Colorado",80.1,1.9,76.4,83.8,80.5
300,08059009851,85 Years (95% C.I. 80.5 - 89.5 Years),JEFFERSON,"Census Tract 98.51, Jefferson County, Colorado",85,2.32,80.5,89.5,80.5
301,08059009837,81 Years (95% C.I. 76.7 - 85.3 Years),JEFFERSON,"Census Tract 98.37, Jefferson County, Colorado",81,2.18,76.7,85.3,80.5
302,08059009838,87 Years (95% C.I. 81.1 - 92.9 Years),JEFFERSON,"Census Tract 98.38, Jefferson County, Colorado",87,3,81.1,92.9,80.5
303,08059009827,81.3 Years (95% C.I. 78.1 - 84.5 Years),JEFFERSON,"Census Tract 98.27, Jefferson County, Colorado",81.3,1.64,78.1,84.5,80.5
304,08059009815,83.9 Years (95% C.I. 80.7 - 87.1 Years),JEFFERSON,"Census Tract 98.15, Jefferson County, Colorado",83.9,1.63,80.7,87.1,80.5
305,08059009808,80.4 Years (95% C.I. 77 - 83.8 Years),JEFFERSON,"Census Tract 98.08, Jefferson County, Colorado",80.4,1.72,77,83.8,80.5
306,08059009840,83.3 Years (95% C.I. 79.6 - 87 Years),JEFFERSON,"Census Tract 98.40, Jefferson County, Colorado",83.3,1.89,79.6,87,80.5
307,08059009836,81.1 Years (95% C.I. 76.9 - 85.3 Years),JEFFERSON,"Census Tract 98.36, Jefferson County, Colorado",81.1,2.17,76.9,85.3,80.5
308,08115968300,76.1 Years (95% C.I. 73.1 - 79.1 Years),SEDGWICK,"Census Tract 9683, Sedgwick County, Colorado",76.1,1.51,73.1,79.1,80.5
309,08059010211,78.9 Years (95% C.I. 76.3 - 81.5 Years),JEFFERSON,"Census Tract 102.11, Jefferson County, Colorado",78.9,1.3,76.3,81.5,80.5
310,08059010307,78.7 Years (95% C.I. 75.6 - 81.8 Years),JEFFERSON,"Census Tract 103.07, Jefferson County, Colorado",78.7,1.61,75.6,81.8,80.5
311,08059010306,79.4 Years (95% C.I. 76.9 - 81.9 Years),JEFFERSON,"Census Tract 103.06, Jefferson County, Colorado",79.4,1.28,76.9,81.9,80.5
312,08059009841,83 Years (95% C.I. 79 - 87 Years),JEFFERSON,"Census Tract 98.41, Jefferson County, Colorado",83,2.03,79,87,80.5
313,08095967600,79.6 Years (95% C.I. 76.4 - 82.8 Years),PHILLIPS,"Census Tract 9676, Phillips County, Colorado",79.6,1.64,76.4,82.8,80.5
314,08095967700,80.6 Years (95% C.I. 76.9 - 84.3 Years),PHILLIPS,"Census Tract 9677, Phillips County, Colorado",80.6,1.87,76.9,84.3,80.5
315,08013013003,83.4 Years (95% C.I. 79.6 - 87.2 Years),BOULDER,"Census Tract 130.03, Boulder County, Colorado",83.4,1.96,79.6,87.2,80.5
316,08013013401,79.2 Years (95% C.I. 75.7 - 82.7 Years),BOULDER,"Census Tract 134.01, Boulder County, Colorado",79.2,1.81,75.7,82.7,80.5
317,08013013503,78.1 Years (95% C.I. 74.7 - 81.5 Years),BOULDER,"Census Tract 135.03, Boulder County, Colorado",78.1,1.76,74.7,81.5,80.5
318,08013013006,83.4 Years (95% C.I. 76.1 - 90.7 Years),BOULDER,"Census Tract 130.06, Boulder County, Colorado",83.4,3.7,76.1,90.7,80.5
319,08013012203,83 Years (95% C.I. 79.1 - 86.9 Years),BOULDER,"Census Tract 122.03, Boulder County, Colorado",83,1.99,79.1,86.9,80.5
320,08013013402,79.1 Years (95% C.I. 76.7 - 81.5 Years),BOULDER,"Census Tract 134.02, Boulder County, Colorado",79.1,1.22,76.7,81.5,80.5
321,08013013210,79.2 Years (95% C.I. 76.8 - 81.6 Years),BOULDER,"Census Tract 132.10, Boulder County, Colorado",79.2,1.21,76.8,81.6,80.5
322,08013013302,82.5 Years (95% C.I. 78.3 - 86.7 Years),BOULDER,"Census Tract 133.02, Boulder County, Colorado",82.5,2.12,78.3,86.7,80.5
323,08013013307,77.9 Years (95% C.I. 74.6 - 81.2 Years),BOULDER,"Census Tract 133.07, Boulder County, Colorado",77.9,1.67,74.6,81.2,80.5
324,08013013308,75.5 Years (95% C.I. 73.4 - 77.6 Years),BOULDER,"Census Tract 133.08, Boulder County, Colorado",75.5,1.06,73.4,77.6,80.5
325,08013012510,83.4 Years (95% C.I. 79.8 - 87 Years),BOULDER,"Census Tract 125.10, Boulder County, Colorado",83.4,1.86,79.8,87,80.5
326,08013013305,83.3 Years (95% C.I. 77 - 89.6 Years),BOULDER,"Census Tract 133.05, Boulder County, Colorado",83.3,3.2,77,89.6,80.5
327,08013060900,80.1 Years (95% C.I. 76.8 - 83.4 Years),BOULDER,"Census Tract 609, Boulder County, Colorado",80.1,1.68,76.8,83.4,80.5
328,08013012509,84.7 Years (95% C.I. 81.1 - 88.3 Years),BOULDER,"Census Tract 125.09, Boulder County, Colorado",84.7,1.82,81.1,88.3,80.5
329,08013013208,80.2 Years (95% C.I. 77.9 - 82.5 Years),BOULDER,"Census Tract 132.08, Boulder County, Colorado",80.2,1.15,77.9,82.5,80.5
330,08013012701,80.9 Years (95% C.I. 78.3 - 83.5 Years),BOULDER,"Census Tract 127.01, Boulder County, Colorado",80.9,1.33,78.3,83.5,80.5
331,08013012507,81.2 Years (95% C.I. 78.5 - 83.9 Years),BOULDER,"Census Tract 125.07, Boulder County, Colorado",81.2,1.36,78.5,83.9,80.5
332,08013012505,86.2 Years (95% C.I. 82 - 90.4 Years),BOULDER,"Census Tract 125.05, Boulder County, Colorado",86.2,2.13,82,90.4,80.5
333,08013013201,78.5 Years (95% C.I. 75.6 - 81.4 Years),BOULDER,"Census Tract 132.01, Boulder County, Colorado",78.5,1.48,75.6,81.4,80.5
334,08013013211,82.8 Years (95% C.I. 77.9 - 87.7 Years),BOULDER,"Census Tract 132.11, Boulder County, Colorado",82.8,2.52,77.9,87.7,80.5
335,08013013207,84.8 Years (95% C.I. 79.3 - 90.3 Years),BOULDER,"Census Tract 132.07, Boulder County, Colorado",84.8,2.79,79.3,90.3,80.5
336,08013013306,76.8 Years (95% C.I. 74.4 - 79.2 Years),BOULDER,"Census Tract 133.06, Boulder County, Colorado",76.8,1.22,74.4,79.2,80.5
337,08013012705,83.6 Years (95% C.I. 77.8 - 89.4 Years),BOULDER,"Census Tract 127.05, Boulder County, Colorado",83.6,2.94,77.8,89.4,80.5
338,08013012708,81.8 Years (95% C.I. 79.2 - 84.4 Years),BOULDER,"Census Tract 127.08, Boulder County, Colorado",81.8,1.33,79.2,84.4,80.5
339,08013013601,82.4 Years (95% C.I. 79 - 85.8 Years),BOULDER,"Census Tract 136.01, Boulder County, Colorado",82.4,1.71,79,85.8,80.5
340,08013012710,83.8 Years (95% C.I. 79.3 - 88.3 Years),BOULDER,"Census Tract 127.10, Boulder County, Colorado",83.8,2.27,79.3,88.3,80.5
341,08013013701,82.2 Years (95% C.I. 79.7 - 84.7 Years),BOULDER,"Census Tract 137.01, Boulder County, Colorado",82.2,1.28,79.7,84.7,80.5
342,08013013702,85.8 Years (95% C.I. 79.3 - 92.3 Years),BOULDER,"Census Tract 137.02, Boulder County, Colorado",85.8,3.3,79.3,92.3,80.5
343,08013013602,82.2 Years (95% C.I. 78.3 - 86.1 Years),BOULDER,"Census Tract 136.02, Boulder County, Colorado",82.2,1.98,78.3,86.1,80.5
344,08013012903,83 Years (95% C.I. 78.4 - 87.6 Years),BOULDER,"Census Tract 129.03, Boulder County, Colorado",83,2.36,78.4,87.6,80.5
